customer_id,customer_code,first_name,last_name,gender,age,city,state,join_date,contract_type,internet_service,payment_method,churn,data_usage_gb,call_minutes,sms_count,streaming_hours,device_count,monthly_charge,tax_amount,discount,payment_delay_days,late_fee,ticket_count,satisfaction_score
1,CUST1,Brian,Black,Female,69,Mumbai,Maharashtra,2021-12-23,Monthly,DSL,Debit Card,0,227.5995833333333,1433.25,472.875,105.24624999999999,3.2083333333333335,1294.395,232.99166666666667,89.54083333333334,11.333333333333334,113.33333333333333,3.0,2.3333333333333335
2,CUST2,Paul,West,Female,65,Delhi,Delhi,2026-05-04,Monthly,Fiber,Debit Card,0,258.64625,1814.7083333333333,556.0833333333334,122.57458333333334,3.75,1439.2475000000002,259.06416666666667,156.88250000000002,7.25,72.5,3.0,2.3333333333333335
3,CUST3,Traci,Luna,Male,53,Bangalore,Punjab,2024-10-05,Quarterly,None,UPI,0,221.67166666666665,1563.2916666666667,415.7083333333333,120.81124999999999,4.166666666666667,1592.9866666666667,286.7375,139.98333333333332,8.583333333333334,85.83333333333333,5.0,2.2
4,CUST4,Laura,Brooks,Female,50,Pune,Karnataka,2026-04-09,Quarterly,None,Debit Card,0,232.61166666666668,1619.9166666666667,505.375,107.87291666666665,4.0,1286.2091666666668,231.51833333333332,132.70250000000001,12.083333333333334,120.83333333333333,0.0,5.0
5,CUST5,Rhonda,Barton,Male,38,Bangalore,Karnataka,2022-06-29,Monthly,5G,Debit Card,0,289.82416666666666,1680.9583333333333,484.6666666666667,108.75124999999998,3.2916666666666665,1182.0541666666666,212.76916666666668,166.94333333333333,13.416666666666666,134.16666666666666,2.0,1.5
6,CUST6,Kevin,Blackwell,Female,48,Chandigarh,Maharashtra,2022-06-10,Yearly,None,Net Banking,0,252.32000000000002,1498.5,430.9166666666667,115.4775,3.75,1645.5441666666666,296.1983333333333,150.32666666666668,9.166666666666666,91.66666666666667,5.0,4.0
7,CUST7,Penny,Ware,Male,54,Delhi,Maharashtra,2021-11-05,Quarterly,Fiber,Debit Card,0,197.65583333333333,1379.9166666666667,522.125,104.87916666666666,3.5416666666666665,1492.93,268.7275,85.19833333333334,10.0,100.0,1.0,1.0
8,CUST8,Hannah,Moon,Female,70,Mumbai,Maharashtra,2025-03-02,Yearly,5G,Net Banking,0,282.0108333333333,1653.625,513.2083333333334,116.29,3.4583333333333335,1179.0658333333333,212.23333333333332,141.0125,7.333333333333333,73.33333333333333,7.0,2.2857142857142856
9,CUST9,Laura,King,Female,49,Chandigarh,Delhi,2024-03-17,Quarterly,5G,UPI,0,178.65125,1462.2083333333333,454.5833333333333,111.84291666666667,3.75,1522.5041666666666,274.0516666666667,158.9575,10.166666666666666,101.66666666666667,2.0,4.5
10,CUST10,Robert,Nguyen,Male,29,Pune,Punjab,2025-01-16,Yearly,DSL,UPI,0,214.385,1177.7916666666667,483.3333333333333,127.81166666666667,3.9583333333333335,1240.0816666666667,223.21416666666667,175.02499999999998,9.166666666666666,91.66666666666667,8.0,3.125
11,CUST11,Chase,Howard,Male,38,Mumbai,Punjab,2022-09-14,Monthly,Fiber,UPI,0,256.09208333333333,1546.1666666666667,492.8333333333333,124.40249999999999,3.7916666666666665,1246.1975,224.31333333333336,127.88416666666667,7.5,75.0,4.0,3.5
12,CUST12,Cory,Martin,Female,65,Pune,Delhi,2022-07-19,Yearly,Fiber,Net Banking,0,210.94958333333332,1536.7916666666667,644.0,115.32166666666667,3.5,1345.9458333333334,242.27083333333334,169.43333333333334,9.5,95.0,1.0,2.0
13,CUST13,Ashley,Cook,Female,18,Chandigarh,Karnataka,2021-12-22,Yearly,None,Credit Card,0,272.92875,1471.2916666666667,504.125,163.09,3.2916666666666665,1335.7375,240.4333333333333,107.08833333333332,10.083333333333334,100.83333333333333,5.0,2.0
14,CUST14,Alicia,Gomez,Male,68,Pune,Maharashtra,2024-05-17,Quarterly,None,Credit Card,0,247.9333333333333,1172.75,462.9583333333333,119.34125,3.125,1679.2108333333333,302.2575,128.70833333333334,7.833333333333333,78.33333333333333,7.0,3.4285714285714284
15,CUST15,Benjamin,Williams,Female,46,Chandigarh,Delhi,2022-12-17,Quarterly,5G,UPI,0,267.45458333333335,1437.9583333333333,512.25,130.26208333333332,3.2916666666666665,1516.6499999999999,272.99666666666667,158.20916666666668,9.25,92.5,2.0,3.0
16,CUST16,Kimberly,Evans,Male,36,Bangalore,Delhi,2026-04-29,Monthly,Fiber,UPI,1,249.3529166666667,1479.4583333333333,534.0833333333334,132.4925,4.125,1399.6066666666666,251.9275,184.62166666666667,10.333333333333334,103.33333333333333,8.0,3.5
17,CUST17,Desiree,Warren,Male,32,Chandigarh,Delhi,2023-02-06,Monthly,DSL,Debit Card,0,249.04666666666665,1501.625,468.0833333333333,146.34458333333333,3.3333333333333335,1258.6558333333332,226.5583333333333,155.39083333333335,10.833333333333334,108.33333333333333,1.0,3.0
18,CUST18,Jennifer,Fowler,Female,54,Bangalore,Delhi,2021-12-14,Quarterly,DSL,Credit Card,0,274.53916666666663,1446.6666666666667,556.125,159.38833333333335,3.6666666666666665,1429.9399999999998,257.39,151.74333333333334,10.666666666666666,106.66666666666667,0.0,5.0
19,CUST19,Pamela,Durham,Male,42,Bangalore,Punjab,2022-06-16,Monthly,5G,Credit Card,0,208.96458333333337,1403.5,417.3333333333333,126.71791666666667,3.7916666666666665,865.4333333333334,155.77666666666667,141.34666666666666,7.583333333333333,75.83333333333333,0.0,5.0
20,CUST20,Peter,Hill,Female,18,Mumbai,Punjab,2025-11-30,Yearly,DSL,Net Banking,0,263.80958333333336,1717.9166666666667,487.5,134.43208333333334,3.5833333333333335,1388.9316666666666,250.00666666666666,161.36333333333332,11.333333333333334,113.33333333333333,2.0,3.0
21,CUST21,Charles,Smith,Female,42,Delhi,Karnataka,2024-09-27,Monthly,None,UPI,0,289.43041666666664,1509.4166666666667,545.5833333333334,110.55541666666666,3.875,1442.6049999999998,259.67083333333335,147.6158333333333,8.166666666666666,81.66666666666667,6.0,2.1666666666666665
22,CUST22,Elizabeth,Fletcher,Female,67,Mumbai,Karnataka,2024-08-03,Monthly,DSL,Net Banking,0,235.5325,1749.7916666666667,514.2916666666666,123.42416666666666,3.25,1172.305,211.01583333333335,195.035,11.416666666666666,114.16666666666667,4.0,1.75
23,CUST23,Logan,Walls,Male,62,Delhi,Punjab,2022-08-18,Monthly,None,Debit Card,0,257.84499999999997,1271.125,549.5416666666666,152.89083333333335,3.9583333333333335,1655.0358333333334,297.9066666666667,119.40416666666665,8.833333333333334,88.33333333333333,8.0,3.0
24,CUST24,Brian,Case,Female,52,Bangalore,Punjab,2022-06-10,Yearly,DSL,Net Banking,1,259.6475,1383.7916666666667,510.9583333333333,112.14416666666666,3.8333333333333335,1239.5258333333334,223.11333333333334,133.71916666666667,10.583333333333334,105.83333333333333,8.0,2.375
25,CUST25,Robert,Carr,Male,23,Delhi,Delhi,2021-06-03,Quarterly,5G,UPI,0,236.7725,1824.2083333333333,565.75,123.77749999999999,3.9583333333333335,1279.3841666666667,230.29,82.59666666666668,7.583333333333333,75.83333333333333,3.0,2.6666666666666665
26,CUST26,Ryan,Harrison,Male,23,Delhi,Maharashtra,2021-10-06,Quarterly,DSL,Credit Card,0,271.5804166666667,1443.7083333333333,458.75,141.38791666666665,3.4583333333333335,1524.7233333333334,274.4525,141.4975,10.083333333333334,100.83333333333333,4.0,4.0
27,CUST27,Adrian,Jackson,Female,53,Pune,Delhi,2023-02-10,Yearly,5G,Credit Card,0,286.11708333333337,1548.0,450.2916666666667,122.12416666666667,3.9583333333333335,1715.1066666666666,308.72,163.47583333333333,7.333333333333333,73.33333333333333,0.0,5.0
28,CUST28,Monica,Rios,Male,28,Pune,Karnataka,2025-12-02,Monthly,None,Debit Card,0,252.56875000000002,1742.4583333333333,485.0,121.05166666666668,4.125,1319.9941666666666,237.59916666666666,141.22083333333333,9.333333333333334,93.33333333333333,5.0,3.4
29,CUST29,Courtney,Thomas,Male,62,Pune,Delhi,2022-05-25,Monthly,DSL,Debit Card,1,253.62,1485.4166666666667,500.7916666666667,124.36041666666667,3.5,1380.1658333333332,248.43083333333334,158.0,11.083333333333334,110.83333333333333,8.0,2.875
30,CUST30,Ryan,Merritt,Male,61,Delhi,Delhi,2024-11-23,Monthly,5G,UPI,0,217.50083333333336,1559.2916666666667,534.6666666666666,130.14374999999998,3.5416666666666665,1469.79,264.56333333333333,173.54583333333335,8.916666666666666,89.16666666666667,7.0,3.857142857142857
31,CUST31,Holly,Walker,Female,19,Pune,Punjab,2023-12-21,Monthly,None,UPI,0,298.45916666666665,1421.4583333333333,371.4166666666667,127.90041666666667,3.7083333333333335,1516.045,272.8875,163.01500000000001,8.083333333333334,80.83333333333333,2.0,1.5
32,CUST32,Sara,Lee,Male,22,Mumbai,Punjab,2025-01-09,Yearly,None,Debit Card,0,263.78458333333333,1533.5833333333333,537.0833333333334,120.90041666666667,3.5,1000.1816666666667,180.03166666666667,131.0975,11.75,117.5,3.0,2.0
33,CUST33,Michael,Fitzgerald,Female,29,Delhi,Karnataka,2025-12-15,Monthly,None,Credit Card,0,259.62041666666664,1448.9583333333333,509.8333333333333,132.72875,3.6666666666666665,1731.2608333333335,311.62583333333333,163.18416666666667,9.75,97.5,7.0,2.5714285714285716
34,CUST34,Holly,Whitaker,Female,51,Delhi,Punjab,2024-11-17,Quarterly,None,Net Banking,0,216.76041666666666,1371.125,550.4166666666666,142.16625000000002,3.4166666666666665,1201.7875000000001,216.32083333333333,190.79999999999998,10.166666666666666,101.66666666666667,3.0,3.6666666666666665
